,UMAP_1,UMAP_2,file_name,class
1627,-4.097155,-37.112186,VCF_POINT_MUTATIONS_sw_1_2_s_1_0_oc,VCF_POINT_MUTATIONS
1628,-4.937573,-33.365303,VCF_POINT_MUTATIONS_sw_1_2_s_1_2_cc_0,VCF_POINT_MUTATIONS
1629,-3.7330086,-34.07039,VCF_POINT_MUTATIONS_sw_1_2_s_1_2_oc,VCF_POINT_MUTATIONS
1630,-3.061539,34.667034,arcs_p_0_sw_0_7_s_0_7_cc_0,arcs
1631,-3.9623063,33.260914,arcs_p_0_sw_0_7_s_0_7_oc,arcs
1632,-0.8302533,32.19148,arcs_p_0_sw_0_7_s_1_0_cc_0,arcs
1633,-2.7086098,32.975304,arcs_p_0_sw_0_7_s_1_0_oc,arcs
1634,-1.2243116,35.79208,arcs_p_0_sw_0_7_s_1_2_cc_0,arcs
1635,-4.1489096,34.35089,arcs_p_0_sw_0_7_s_1_2_oc,arcs
1636,-0.73740304,33.707012,arcs_p_0_sw_1_0_s_0_7_cc_0,arcs
1637,-3.975673,32.249245,arcs_p_0_sw_1_0_s_0_7_oc,arcs
1638,-0.32023707,35.29793,arcs_p_0_sw_1_0_s_1_0_cc_0,arcs
1639,0.53052455,33.769634,arcs_p_0_sw_1_0_s_1_0_oc,arcs
1640,-2.6987047,35.433693,arcs_p_0_sw_1_0_s_1_2_cc_0,arcs
1641,-0.41293237,32.24573,arcs_p_0_sw_1_0_s_1_2_oc,arcs
1642,-2.0480745,31.494326,arcs_p_0_sw_1_2_s_0_7_cc_0,arcs
1643,-1.968745,33.51241,arcs_p_0_sw_1_2_s_0_7_oc,arcs
1644,-1.5585526,34.905968,arcs_p_0_sw_1_2_s_1_0_cc_0,arcs
1645,-3.8051863,32.95871,arcs_p_0_sw_1_2_s_1_0_oc,arcs
1646,-2.5821567,35.005135,arcs_p_0_sw_1_2_s_1_2_cc_0,arcs
1647,-1.8006413,32.563,arcs_p_0_sw_1_2_s_1_2_oc,arcs
1648,8.190184,-65.896225,band_connection_p_0_sw_0_7_s_0_7_cc_0,band_connection
1649,13.396835,-67.47584,band_connection_p_0_sw_0_7_s_0_7_cc_1,band_connection
1650,9.014049,-68.20094,band_connection_p_0_sw_0_7_s_0_7_cc_2,band_connection
1651,12.169251,-66.07437,band_connection_p_0_sw_0_7_s_0_7_oc,band_connection
1652,8.893023,-64.91281,band_connection_p_0_sw_0_7_s_1_0_cc_0,band_connection
1653,10.751896,-64.88884,band_connection_p_0_sw_0_7_s_1_0_cc_1,band_connection
1654,11.353717,-69.08845,band_connection_p_0_sw_0_7_s_1_0_cc_2,band_connection
1655,9.246577,-63.02451,band_connection_p_0_sw_0_7_s_1_0_oc,band_connection
1656,8.985352,-63.706093,band_connection_p_0_sw_0_7_s_1_2_cc_0,band_connection
1657,8.181551,-64.26921,band_connection_p_0_sw_0_7_s_1_2_cc_1,band_connection
1658,11.09768,-65.59577,band_connection_p_0_sw_0_7_s_1_2_cc_2,band_connection
1659,10.344427,-63.322502,band_connection_p_0_sw_0_7_s_1_2_oc,band_connection
1660,11.454028,-68.58489,band_connection_p_0_sw_1_0_s_0_7_cc_0,band_connection
1661,10.935967,-62.888992,band_connection_p_0_sw_1_0_s_0_7_cc_1,band_connection
1662,9.523944,-63.92531,band_connection_p_0_sw_1_0_s_0_7_cc_2,band_connection
1663,12.998254,-68.39588,band_connection_p_0_sw_1_0_s_0_7_oc,band_connection
1664,11.563887,-68.382866,band_connection_p_0_sw_1_0_s_1_0_cc_0,band_connection
1665,8.13357,-65.410706,band_connection_p_0_sw_1_0_s_1_0_cc_1,band_connection
1666,9.37211,-66.223946,band_connection_p_0_sw_1_0_s_1_0_cc_2,band_connection
1667,10.948185,-67.20732,band_connection_p_0_sw_1_0_s_1_0_oc,band_connection
1668,13.259403,-65.71679,band_connection_p_0_sw_1_0_s_1_2_cc_0,band_connection
1669,10.20224,-66.084724,band_connection_p_0_sw_1_0_s_1_2_cc_1,band_connection
1670,9.136381,-66.6921,band_connection_p_0_sw_1_0_s_1_2_cc_2,band_connection
1671,11.179834,-64.45737,band_connection_p_0_sw_1_0_s_1_2_oc,band_connection
1672,7.8342524,-65.5435,band_connection_p_0_sw_1_2_s_0_7_cc_0,band_connection
1673,9.700073,-68.26078,band_connection_p_0_sw_1_2_s_0_7_cc_1,band_connection
1674,12.14933,-68.20096,band_connection_p_0_sw_1_2_s_0_7_cc_2,band_connection
1675,10.137642,-64.4901,band_connection_p_0_sw_1_2_s_0_7_oc,band_connection
1676,9.844396,-67.15028,band_connection_p_0_sw_1_2_s_1_0_cc_0,band_connection
1677,8.21713,-67.0582,band_connection_p_0_sw_1_2_s_1_0_cc_1,band_connection
1678,12.966805,-66.81309,band_connection_p_0_sw_1_2_s_1_0_cc_2,band_connection
1679,10.300156,-67.43928,band_connection_p_0_sw_1_2_s_1_0_oc,band_connection
1680,11.308662,-65.13172,band_connection_p_0_sw_1_2_s_1_2_cc_0,band_connection
1681,9.674114,-68.06081,band_connection_p_0_sw_1_2_s_1_2_cc_1,band_connection
1682,13.585615,-68.5262,band_connection_p_0_sw_1_2_s_1_2_cc_2,band_connection
1683,12.4114685,-67.14967,band_connection_p_0_sw_1_2_s_1_2_oc,band_connection
1684,55.534782,-17.941174,basic-link_p_0_sw_0_7_s_0_7_cc_0,basic-link
1685,57.176018,-18.317202,basic-link_p_0_sw_0_7_s_0_7_cc_1,basic-link
1686,59.069305,-14.9831,basic-link_p_0_sw_0_7_s_0_7_cc_2,basic-link
1687,59.993107,-16.929482,basic-link_p_0_sw_0_7_s_0_7_oc,basic-link
1688,55.736176,-17.603699,basic-link_p_0_sw_0_7_s_1_0_cc_0,basic-link
1689,55.22728,-16.705807,basic-link_p_0_sw_0_7_s_1_0_cc_1,basic-link
1690,59.659374,-13.361954,basic-link_p_0_sw_0_7_s_1_0_cc_2,basic-link
1691,57.971283,-15.739093,basic-link_p_0_sw_0_7_s_1_0_oc,basic-link
1692,56.698574,-17.991201,basic-link_p_0_sw_0_7_s_1_2_cc_0,basic-link
1693,55.747646,-16.469898,basic-link_p_0_sw_0_7_s_1_2_cc_1,basic-link
1694,57.54842,-18.038319,basic-link_p_0_sw_0_7_s_1_2_cc_2,basic-link
1695,57.690292,-16.364197,basic-link_p_0_sw_0_7_s_1_2_oc,basic-link
1696,57.90768,-17.076597,basic-link_p_0_sw_1_0_s_0_7_cc_0,basic-link
1697,56.768173,-17.396372,basic-link_p_0_sw_1_0_s_0_7_cc_1,basic-link
1698,60.777554,-14.066882,basic-link_p_0_sw_1_0_s_0_7_cc_2,basic-link
1699,60.272102,-12.459132,basic-link_p_0_sw_1_0_s_0_7_oc,basic-link
