,Unnamed: 0,query_file,query_type,target_embedding_type,smallest_k_matched
77,77,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,spec_frequency,28
78,78,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,spec_onehot,5
79,79,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,spec,3
80,80,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,text,976
81,81,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4,1173
82,82,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,text_0_2_4_llm_fs_single,4
83,83,EX_SPEC_PILEUP_sw_1_0_s_1_0_oc_query1.json,specs,image,3
84,84,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,spec_frequency,1
85,85,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,spec_onehot,1
86,86,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,spec,783
87,87,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,text,1851
88,88,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,text_0_2_4,1867
89,89,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,580
90,90,EX_SPEC_LINKING_sw_1_0_s_1_0_cc_0_query2.json,specs,image,395
91,91,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
92,92,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
93,93,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec,7
94,94,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text,2420
95,95,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,2407
96,96,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,147
97,97,viridis-heatmap_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,image,1805
98,98,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_frequency,1
99,99,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_onehot,1
100,100,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec,3
101,101,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,text,2134
102,102,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4,2152
103,103,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,226
104,104,viridis-heatmap_p_0_sw_1_2_s_1_0_oc_query.json,specs,image,479
105,105,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
106,106,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
107,107,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,spec,4
108,108,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,text,534
109,109,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,1124
110,110,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,10
111,111,SEMANTIC_ZOOM_SEQUENCE_sw_0_7_s_0_7_cc_0_query.json,specs,image,558
112,112,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_frequency,1
113,113,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec_onehot,1
114,114,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,spec,25
115,115,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,text,1326
116,116,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4,1347
117,117,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,text_0_2_4_llm_fs_single,58
118,118,stratified-line_p_0_sw_1_2_s_1_2_oc_query.json,specs,image,850
119,119,overview-landing_oc_query2.json,specs,spec_frequency,1
120,120,overview-landing_oc_query2.json,specs,spec_onehot,1
121,121,overview-landing_oc_query2.json,specs,spec,318
122,122,overview-landing_oc_query2.json,specs,text,2375
123,123,overview-landing_oc_query2.json,specs,text_0_2_4,2365
124,124,overview-landing_oc_query2.json,specs,text_0_2_4_llm_fs_single,820
125,125,overview-landing_oc_query2.json,specs,image,672
126,126,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,spec_frequency,2
127,127,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,spec_onehot,4
128,128,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,spec,13
129,129,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,text,2342
130,130,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,text_0_2_4,2365
131,131,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,text_0_2_4_llm_fs_single,1054
132,132,BRUSH_sw_0_7_s_0_7_cc_1_query1.json,specs,image,1806
133,133,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,spec_frequency,4
134,134,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,spec_onehot,1
135,135,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,spec,104
136,136,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,text,671
137,137,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,text_0_2_4,746
138,138,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,text_0_2_4_llm_fs_single,327
139,139,BAR_sw_0_7_s_1_2_cc_3_query.json,specs,image,538
140,140,overview-landing_cc_0_query3.json,specs,spec_frequency,11
141,141,overview-landing_cc_0_query3.json,specs,spec_onehot,213
142,142,overview-landing_cc_0_query3.json,specs,spec,267
143,143,overview-landing_cc_0_query3.json,specs,text,2485
144,144,overview-landing_cc_0_query3.json,specs,text_0_2_4,2445
145,145,overview-landing_cc_0_query3.json,specs,text_0_2_4_llm_fs_single,1453
146,146,overview-landing_cc_0_query3.json,specs,image,1076
147,147,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,spec_frequency,1
148,148,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,spec_onehot,3
149,149,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,spec,2
150,150,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,text,2438
151,151,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4,2408
152,152,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4_llm_fs_single,209
153,153,gray_heatmap_sw_1_0_s_1_0_oc_sw_0_7_s_1_2_cc_0_query.json,specs,image,2027
154,154,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,spec_frequency,1
155,155,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,spec_onehot,1
156,156,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,spec,1890
157,157,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,text,800
158,158,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,text_0_2_4,541
159,159,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,text_0_2_4_llm_fs_single,74
160,160,EX_SPEC_GIVE_sw_1_0_s_1_0_query2.json,specs,image,1127
161,161,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_frequency,1
162,162,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,spec_onehot,1
163,163,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,spec,1
164,164,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,text,311
165,165,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4,150
166,166,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,65
167,167,EX_SPEC_CLINVAR_LOLLIPOP_sw_0_7_s_1_0_cc_0_query2.json,specs,image,319
168,168,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,spec_frequency,1
169,169,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,spec_onehot,1
170,170,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,spec,1
171,171,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,text,241
172,172,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,text_0_2_4,1355
173,173,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,text_0_2_4_llm_fs_single,146
174,174,multi_layer_circular_m_2_s_0_5_cc_0_query.json,specs,image,255
175,175,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,spec_frequency,1
176,176,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,spec_onehot,1
177,177,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,spec,1
178,178,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,text,1
179,179,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,text_0_2_4,1
180,180,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,text_0_2_4_llm_fs_single,8
181,181,BOCA-UK-f83fc777-5416-c3e9-e040-11ac0d482c8e_query1.json,specs,image,1
182,182,EX_SPEC_CIRCULR_RANGE_sw_1_2_s_0_7_cc_3_query.json,specs,spec_frequency,4
