,query_file,query_type,target_embedding_type,smallest_k_matched
249,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4,1433
250,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,text_0_2_4_llm_fs_single,44
251,EX_SPEC_CIRCULAR_OVERVIEW_LINEAR_DETAIL_sw_0_7_s_1_0_cc_0_query2.json,specs,image,70
252,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_frequency,1
253,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec_onehot,1
254,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,spec,655
255,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,text,526
256,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4,1488
257,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,text_0_2_4_llm_fs_single,47
258,EX_SPEC_MARK_DISPLACEMENT_sw_1_0_s_1_0_oc_query2.json,specs,image,358
259,circulars_p_4_oc_query1.json,specs,spec_frequency,1
260,circulars_p_4_oc_query1.json,specs,spec_onehot,164
261,circulars_p_4_oc_query1.json,specs,spec,758
262,circulars_p_4_oc_query1.json,specs,text,893
263,circulars_p_4_oc_query1.json,specs,text_0_2_4,909
264,circulars_p_4_oc_query1.json,specs,text_0_2_4_llm_fs_single,128
265,circulars_p_4_oc_query1.json,specs,image,3
266,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,spec_frequency,1
267,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,spec_onehot,1
268,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,spec,41
269,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,text,1269
270,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4,1213
271,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,text_0_2_4_llm_fs_single,25
272,circular-point-second_p_0_sw_0_7_s_1_2_cc_0_query.json,specs,image,1238
273,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_frequency,1
274,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec_onehot,1
275,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,spec,39
276,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text,693
277,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4,1268
278,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,text_0_2_4_llm_fs_single,257
279,stratified-bar-alt_p_0_sw_0_7_s_0_7_cc_0_query.json,specs,image,174
280,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_frequency,2
281,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec_onehot,6
282,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,spec,22
283,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,text,2382
284,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4,2378
285,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,text_0_2_4_llm_fs_single,298
286,basic-link_p_0_sw_1_2_s_1_0_oc_query.json,specs,image,1045
